"id","date","venue","temperature","precipitation"
21700001,"2017-10-17","Quicken Loans Arena",53.51,0
21700002,"2017-10-17","Oracle Arena",81.79,0
21700003,"2017-10-18","Little Caesars Arena",67.3,0
21700004,"2017-10-18","Bankers Life Fieldhouse",65.36,0
21700005,"2017-10-18","Amway Center",75.14,0.0005
21700006,"2017-10-18","Capital Center",58.99,0
21700007,"2017-10-18","Td Garden",53.44,0
21700008,"2017-10-18","Fedex Forum",69.94,0
21700009,"2017-10-18","American Airlines Center",75.73,0
21700010,"2017-10-18","Vivint Smart Home Arena",70.78,0
21700011,"2017-10-18","At&t Center",78.2,0
21700012,"2017-10-18","Talking Stick Resort Arena",97.57,0
21700013,"2017-10-18","Golden 1 Center",80.65,0
21700014,"2017-10-19","Scotiabank Arena",65.99,0
21700015,"2017-10-19","Chesapeake Energy Arena",79.25,0
21700016,"2017-10-19","Staples Center",84.6,0
21700017,"2017-10-20","Spectrum Center",69.89,0
21700018,"2017-10-20","Bankers Life Fieldhouse",73.25,0
21700019,"2017-10-20","Wells Fargo Arena",95.04,0
21700020,"2017-10-20","Capital Center",68.67,0
21700021,"2017-10-20","Fiserv Forum",64.25,0
21700022,"2017-10-20","Barclays Center",67.61,0
21700023,"2017-10-20","Target Center",71.98,0
21700024,"2017-10-20","American Airlines Center",81.47,0
21700025,"2017-10-20","Smoothie King Center",78.99,0
21700026,"2017-10-20","Talking Stick Resort Arena",95.32,0
21700027,"2017-10-21","Scotiabank Arena",65.64,0
21700028,"2017-10-21","Quicken Loans Arena",71.3,0
21700029,"2017-10-21","American Airlines Center",81.79,0
21700030,"2017-10-21","Madison Square Garden",70.34,0
21700031,"2017-10-21","United Center",76.35,0
21700032,"2017-10-21","Toyota Center",77.38,0
21700033,"2017-10-21","Fedex Forum",74.24,0
21700034,"2017-10-21","Fiserv Forum",75.14,0
21700035,"2017-10-21","Pepsi Center",77.18,0
21700036,"2017-10-21","Vivint Smart Home Arena",44.13,0.0054
21700037,"2017-10-21","Staples Center",71.5,0
21700038,"2017-10-22","Barclays Center",69.55,0
21700039,"2017-10-22","Chesapeake Energy Arena",77.57,0
21700040,"2017-10-22","Staples Center",77.93,0
21700041,"2017-10-23","Little Caesars Arena",73.77,0
21700042,"2017-10-23","American Airlines Center",72.79,0
21700043,"2017-10-23","Toyota Center",72.75,0
21700044,"2017-10-23","Fiserv Forum",51.38,0.0303
21700045,"2017-10-23","American Airlines Center",72.79,0.0002
21700046,"2017-10-23","At&t Center",80.35,0
21700047,"2017-10-23","Pepsi Center",66.4,0
21700048,"2017-10-23","Talking Stick Resort Arena",92.01,0
21700049,"2017-10-24","Quicken Loans Arena",64.17,0.0525
21700050,"2017-10-24","Amway Center",78.56,0.0109
21700051,"2017-10-24","Td Garden",62.18,0
21700052,"2017-10-24","Target Center",50.22,0
21700053,"2017-10-24","Moda Center",64.67,0
21700054,"2017-10-24","Staples Center",102.09,0
21700055,"2017-10-25","Spectrum Center",67.09,0
21700056,"2017-10-25","Little Caesars Arena",50.34,0
21700057,"2017-10-25","Wells Fargo Arena",98.3,0
21700058,"2017-10-25","Barclays Center",68.86,0.005
21700059,"2017-10-25","American Airlines Center",70.4,0
21700060,"2017-10-25","Chesapeake Energy Arena",63.13,0
21700061,"2017-10-25","American Airlines Center",70.4,0
21700062,"2017-10-25","Talking Stick Resort Arena",98.61,0
21700063,"2017-10-25","Oracle Arena",89.48,0
21700064,"2017-10-25","Staples Center",102.8,0
21700065,"2017-10-26","United Center",51.08,0
21700066,"2017-10-26","Fedex Forum",63.82,0
21700067,"2017-10-26","Fiserv Forum",48.7,0
21700068,"2017-10-26","Moda Center",63.91,0
21700069,"2017-10-26","Golden 1 Center",86.24,0
21700070,"2017-10-27","Spectrum Center",61.06,0
21700071,"2017-10-27","Amway Center",70.19,0
21700072,"2017-10-27","State Farm Arena",68.68,0
21700073,"2017-10-27","Madison Square Garden",56.28,0
21700074,"2017-10-27","Target Center",41.34,0
21700075,"2017-10-27","Oracle Arena",85.43,0
21700076,"2017-10-27","Staples Center",91.73,0
21700077,"2017-10-28","Smoothie King Center",78.04,0
21700078,"2017-10-28","American Airlines Center",49.34,0
21700079,"2017-10-28","United Center",40.5,0
21700080,"2017-10-28","Fedex Forum",42.75,0.2305
21700081,"2017-10-28","American Airlines Center",49.34,0
21700082,"2017-10-28","Vivint Smart Home Arena",59.65,0
21700083,"2017-10-28","Moda Center",71.3,0
21700084,"2017-10-28","Staples Center",86.83,0
21700085,"2017-10-29","State Farm Arena",50.16,0.2236
21700086,"2017-10-29","Bankers Life Fieldhouse",39.71,0
21700087,"2017-10-29","Barclays Center",64.43,0
21700088,"2017-10-29","Spectrum Center",69.95,0
21700089,"2017-10-29","Golden 1 Center",84.83,0
21700090,"2017-10-29","Quicken Loans Arena",40.83,0
21700091,"2017-10-29","Oracle Arena",74.37,0
21700092,"2017-10-30","Td Garden",60.29,0.0106
21700093,"2017-10-30","American Airlines Center",75.85,0
21700094,"2017-10-30","Madison Square Garden",64.99,0.1394
21700095,"2017-10-30","Toyota Center",67.88,0
21700096,"2017-10-30","Fedex Forum",51.43,0
21700097,"2017-10-30","Smoothie King Center",60.76,0
21700098,"2017-10-30","Vivint Smart Home Arena",67.76,0
21700099,"2017-10-30","Moda Center",58.02,0
21700100,"2017-10-30","Staples Center",72.14,0
21700101,"2017-10-31","Bankers Life Fieldhouse",42.81,0
21700102,"2017-10-31","Barclays Center",52.92,0
21700103,"2017-10-31","Fiserv Forum",40.07,0
21700104,"2017-10-31","Staples Center",67.65,0
21700105,"2017-11-01","Spectrum Center",60.59,0
21700106,"2017-11-01","Quicken Loans Arena",39.97,0
21700107,"2017-11-01","Wells Fargo Arena",79.49,0
21700108,"2017-11-01","Capital Center",50.96,0
21700109,"2017-11-01","Td Garden",49.91,0
21700110,"2017-11-01","American Airlines Center",53.16,0.0026
21700111,"2017-11-01","Madison Square Garden",51.7,0
21700112,"2017-11-01","Fedex Forum",52.41,0
21700113,"2017-11-01","Smoothie King Center",71.43,0
21700114,"2017-11-01","Pepsi Center",51.38,0
21700115,"2017-11-01","Vivint Smart Home Arena",53.54,0
21700116,"2017-11-01","Staples Center",67.59,0
21700117,"2017-11-02","At&t Center",80.01,0
21700118,"2017-11-02","Moda Center",56.82,0
21700119,"2017-11-03","Little Caesars Arena",58.1,0.0013
21700120,"2017-11-03","Amway Center",74.57,0
21700121,"2017-11-03","Wells Fargo Arena",80.56,0
21700122,"2017-11-03","Capital Center",67.86,0
21700123,"2017-11-03","State Farm Arena",69.14,0
21700124,"2017-11-03","Madison Square Garden",66.48,0
21700125,"2017-11-03","American Airlines Center",89.76,0
21700126,"2017-11-03","At&t Center",84.37,0
21700127,"2017-11-03","Pepsi Center",47.67,0
21700128,"2017-11-03","Vivint Smart Home Arena",65.5,0
21700129,"2017-11-03","Chesapeake Energy Arena",66.76,0
21700130,"2017-11-03","Staples Center",64.76,0
21700131,"2017-11-04","Staples Center",68.71,0
21700132,"2017-11-04","Little Caesars Arena",44.91,0
21700133,"2017-11-04","United Center",45.94,0
21700134,"2017-11-04","Target Center",31.21,0.0006
21700135,"2017-11-04","Pepsi Center",56.95,0
21700136,"2017-11-05","Quicken Loans Arena",56.81,0
21700137,"2017-11-05","Staples Center",70.08,0
21700138,"2017-11-05","Amway Center",75.7,0
21700139,"2017-11-05","Scotiabank Arena",42.81,0
21700140,"2017-11-05","Toyota Center",81.61,0
21700141,"2017-11-05","At&t Center",82.67,0
21700142,"2017-11-05","Madison Square Garden",51.27,0
21700143,"2017-11-05","Target Center",40.8,0.0002
21700144,"2017-11-05","Moda Center",46.13,0.0008
21700145,"2017-11-05","Staples Center",70.08,0
21700146,"2017-11-06","State Farm Arena",69.22,0
21700147,"2017-11-06","Talking Stick Resort Arena",78.69,0
21700148,"2017-11-06","Oracle Arena",59.64,0
21700149,"2017-11-07","Quicken Loans Arena",44.53,0
21700150,"2017-11-07","Bankers Life Fieldhouse",48.78,0
21700151,"2017-11-07","Capital Center",66.54,0.0037
21700152,"2017-11-07","Madison Square Garden",60.05,0.0003
21700153,"2017-11-07","Scotiabank Arena",42.85,0
21700154,"2017-11-07","At&t Center",86.84,0
21700155,"2017-11-07","Pepsi Center",40.72,0
21700156,"2017-11-07","Vivint Smart Home Arena",46.16,0
21700157,"2017-11-07","Moda Center",48.37,0
21700158,"2017-11-07","Golden 1 Center",63.22,0
21700159,"2017-11-08","Little Caesars Arena",44.28,0
21700160,"2017-11-08","Amway Center",77.07,0
21700161,"2017-11-08","Td Garden",44.7,0
21700162,"2017-11-08","Talking Stick Resort Arena",79.69,0
21700163,"2017-11-08","Oracle Arena",64.69,0
21700164,"2017-11-09","Capital Center",46.61,0
21700165,"2017-11-09","Scotiabank Arena",43.19,0
21700166,"2017-11-09","Toyota Center",57.41,0.0002
21700167,"2017-11-09","Golden 1 Center",62.94,0
21700168,"2017-11-09","Pepsi Center",52.02,0.0004
21700169,"2017-11-10","Little Caesars Arena",38.85,0
21700170,"2017-11-10","Td Garden",43.82,0
21700171,"2017-11-10","United Center",35.09,0
21700172,"2017-11-10","Chesapeake Energy Arena",55.97,0
21700173,"2017-11-10","At&t Center",59.98,0
21700174,"2017-11-10","Talking Stick Resort Arena",85.02,0
21700175,"2017-11-10","Vivint Smart Home Arena",56.56,0
21700176,"2017-11-10","Moda Center",52.46,0.0302
21700177,"2017-11-11","Capital Center",36.05,0
21700178,"2017-11-11","Smoothie King Center",65.37,0
21700179,"2017-11-11","Madison Square Garden",29.72,0
21700180,"2017-11-11","Toyota Center",66.52,0
21700181,"2017-11-11","American Airlines Center",63.12,0
21700182,"2017-11-11","Fiserv Forum",29.48,0
21700183,"2017-11-11","At&t Center",61.39,0
21700184,"2017-11-11","Oracle Arena",62.67,0.0009
21700185,"2017-11-11","Pepsi Center",56.55,0
21700186,"2017-11-11","Talking Stick Resort Arena",84.79,0
21700187,"2017-11-11","Vivint Smart Home Arena",51.2,0
21700188,"2017-11-12","Td Garden",29.31,0
21700189,"2017-11-12","Little Caesars Arena",34.39,0
21700190,"2017-11-12","Bankers Life Fieldhouse",38.75,0.0002
21700191,"2017-11-12","Chesapeake Energy Arena",58.29,0
21700192,"2017-11-13","Capital Center",43.01,0
21700193,"2017-11-13","Madison Square Garden",41.55,0
21700194,"2017-11-13","Fiserv Forum",37.14,0.0003
21700195,"2017-11-13","Smoothie King Center",68.67,0
21700196,"2017-11-13","Talking Stick Resort Arena",85.75,0
21700197,"2017-11-13","Vivint Smart Home Arena",53.65,0
21700198,"2017-11-13","Moda Center",56.23,0.0003
21700199,"2017-11-13","Oracle Arena",64.27,0
21700200,"2017-11-13","Staples Center",68.68,0
21700201,"2017-11-14","Barclays Center",43.86,0.0003
21700202,"2017-11-14","Toyota Center",73.77,0
21700203,"2017-11-14","American Airlines Center",64.93,0
21700204,"2017-11-15","State Farm Arena",53.43,0
21700205,"2017-11-15","American Airlines Center",75.19,0
21700206,"2017-11-15","Madison Square Garden",43.38,0
21700207,"2017-11-15","Spectrum Center",49.81,0
21700208,"2017-11-15","Fedex Forum",59.15,0
21700209,"2017-11-15","Fiserv Forum",45.33,0
21700210,"2017-11-15","Target Center",43.44,0
21700211,"2017-11-15","Smoothie King Center",67.14,0
21700212,"2017-11-15","Chesapeake Energy Arena",70.31,0
21700213,"2017-11-15","Moda Center",55.82,0
21700214,"2017-11-15","Staples Center",76.29,0
21700215,"2017-11-16","Td Garden",36.09,0
21700216,"2017-11-16","Talking Stick Resort Arena",84.01,0
21700217,"2017-11-17","Bankers Life Fieldhouse",36.98,0
21700218,"2017-11-17","Capital Center",51.03,0
21700219,"2017-11-17","Barclays Center",48.84,0
21700220,"2017-11-17","Quicken Loans Arena",41.07,0
21700221,"2017-11-17","Scotiabank Arena",38.55,0
21700222,"2017-11-17","United Center",36.72,0
21700223,"2017-11-17","At&t Center",81.47,0
21700224,"2017-11-17","American Airlines Center",72.55,0
21700225,"2017-11-17","Golden 1 Center",56.72,0.0178
21700226,"2017-11-17","Pepsi Center",70.3,0
21700227,"2017-11-17","Staples Center",76.21,0
21700228,"2017-11-18","Spectrum Center",51.01,0
21700229,"2017-11-18","Amway Center",69.46,0
21700230,"2017-11-18","State Farm Arena",58.55,0
21700231,"2017-11-18","Wells Fargo Arena",78.37,0
21700232,"2017-11-18","Fedex Forum",69.63,0
21700233,"2017-11-18","American Airlines Center",80.69,0
21700234,"2017-11-18","Moda Center",49.8,0.0041
21700235,"2017-11-19","American Airlines Center",59,0
21700236,"2017-11-19","Barclays Center",48.07,0.0293
21700237,"2017-11-19","Scotiabank Arena",46.1,0.0891
21700238,"2017-11-19","Target Center",29.37,0
21700239,"2017-11-19","Talking Stick Resort Arena",78.34,0
21700240,"2017-11-19","Staples Center",75.6,0
21700241,"2017-11-20","Spectrum Center",48.35,0
21700242,"2017-11-20","Little Caesars Arena",32.92,0
21700243,"2017-11-20","Amway Center",70.76,0
21700244,"2017-11-20","Wells Fargo Arena",81.02,0
21700245,"2017-11-20","Madison Square Garden",45.5,0
21700246,"2017-11-20","Fedex Forum",45.9,0
21700247,"2017-11-20","Fiserv Forum",30.53,0
21700248,"2017-11-20","Smoothie King Center",58.98,0
21700249,"2017-11-20","American Airlines Center",59.51,0
21700250,"2017-11-20","At&t Center",61.78,0
21700251,"2017-11-20","Golden 1 Center",61.22,0
21700252,"2017-11-21","Staples Center",74.12,0
21700253,"2017-11-22","Spectrum Center",57.21,0
21700254,"2017-11-22","Quicken Loans Arena",51.2,0
21700255,"2017-11-22","Wells Fargo Arena",77.85,0
21700256,"2017-11-22","State Farm Arena",61.66,0
21700257,"2017-11-22","American Airlines Center",65.4,0
21700258,"2017-11-22","Madison Square Garden",51.41,0
21700259,"2017-11-22","Toyota Center",73.15,0
21700260,"2017-11-22","Fedex Forum",56.48,0
21700261,"2017-11-22","Target Center",26.19,0
21700262,"2017-11-22","Smoothie King Center",65.79,0
21700263,"2017-11-22","Chesapeake Energy Arena",57.28,0
21700264,"2017-11-22","Talking Stick Resort Arena",78.24,0
21700265,"2017-11-22","Vivint Smart Home Arena",59.02,0
21700266,"2017-11-22","Golden 1 Center",64.15,0
21700267,"2017-11-24","Barclays Center",38.35,0
21700268,"2017-11-24","State Farm Arena",53.09,0
21700269,"2017-11-24","Td Garden",33.83,0
21700270,"2017-11-24","Quicken Loans Arena",38.35,0
21700271,"2017-11-24","Bankers Life Fieldhouse",41.37,0
21700272,"2017-11-24","Target Center",41.46,0
21700273,"2017-11-24","Chesapeake Energy Arena",66.14,0
21700274,"2017-11-24","Pepsi Center",64.12,0
21700275,"2017-11-24","Talking Stick Resort Arena",87.51,0
21700276,"2017-11-24","Oracle Arena",67.19,0
21700277,"2017-11-25","Spectrum Center",49.69,0
21700278,"2017-11-25","Wells Fargo Arena",85.52,0
21700279,"2017-11-25","Capital Center",46.68,0
21700280,"2017-11-25","State Farm Arena",54.28,0
21700281,"2017-11-25","Bankers Life Fieldhouse",53.97,0
21700282,"2017-11-25","Toyota Center",68.34,0
21700283,"2017-11-25","American Airlines Center",72.83,0
21700284,"2017-11-25","Oracle Arena",70.31,0
21700285,"2017-11-25","Vivint Smart Home Arena",55.87,0
21700286,"2017-11-25","Golden 1 Center",67.46,0
21700287,"2017-11-26","United Center",45.58,0
21700288,"2017-11-26","Target Center",35.5,0
21700289,"2017-11-26","Fedex Forum",59.16,0
21700290,"2017-11-27","Bankers Life Fieldhouse",44.66,0
21700291,"2017-11-27","Wells Fargo Arena",88.29,0
21700292,"2017-11-27","Td Garden",38.27,0
21700293,"2017-11-27","Madison Square Garden",42.06,0
21700294,"2017-11-27","Toyota Center",71.52,0
21700295,"2017-11-27","At&t Center",75.81,0
21700296,"2017-11-27","Oracle Arena",61.25,0.0282
21700297,"2017-11-27","Staples Center",70.24,0
21700298,"2017-11-28","Quicken Loans Arena",45.08,0
21700299,"2017-11-28","United Center",52.11,0
21700300,"2017-11-28","Target Center",56.81,0
21700301,"2017-11-28","Vivint Smart Home Arena",41.47,0.0287
21700302,"2017-11-28","Golden 1 Center",58.97,0
21700303,"2017-11-29","Little Caesars Arena",59.97,0
21700304,"2017-11-29","Amway Center",73.56,0
21700305,"2017-11-29","Wells Fargo Arena",73.32,0
21700306,"2017-11-29","Madison Square Garden",49.57,0
21700307,"2017-11-29","Scotiabank Arena",56.7,0
21700308,"2017-11-29","Toyota Center",72.12,0
21700309,"2017-11-29","Smoothie King Center",67.27,0
21700310,"2017-11-29","American Airlines Center",75.12,0
21700311,"2017-11-29","At&t Center",77,0
21700312,"2017-11-29","Staples Center",74.23,0
21700313,"2017-11-30","State Farm Arena",58.98,0
21700314,"2017-11-30","Td Garden",46.02,0
21700315,"2017-11-30","Pepsi Center",61.16,0
21700316,"2017-11-30","Moda Center",50.2,0
21700317,"2017-11-30","Staples Center",72.82,0
21700318,"2017-12-01","Amway Center",71.38,0
21700319,"2017-12-01","Scotiabank Arena",43.55,0
21700320,"2017-12-01","Capital Center",52.26,0
21700321,"2017-12-01","American Airlines Center",64.07,0
21700322,"2017-12-01","United Center",48.76,0
21700323,"2017-12-01","Fedex Forum",59.33,0
21700324,"2017-12-01","Chesapeake Energy Arena",54.67,0
21700325,"2017-12-01","Vivint Smart Home Arena",47.38,0
21700326,"2017-12-02","Td Garden",44.5,0
21700327,"2017-12-02","American Airlines Center",68.98,0
21700328,"2017-12-02","Barclays Center",46.01,0
21700329,"2017-12-02","Quicken Loans Arena",39.11,0
21700330,"2017-12-02","Wells Fargo Arena",76.07,0
21700331,"2017-12-02","Fiserv Forum",45.59,0
21700332,"2017-12-02","Pepsi Center",55.13,0
21700333,"2017-12-02","Moda Center",48.67,0
21700334,"2017-12-03","Madison Square Garden",44.07,0
21700335,"2017-12-03","American Airlines Center",74.59,0
21700336,"2017-12-03","Target Center",41.52,0
21700337,"2017-12-03","Chesapeake Energy Arena",64.66,0
21700338,"2017-12-03","Staples Center",74.13,0
21700339,"2017-12-04","Spectrum Center",55.95,0
21700340,"2017-12-04","Bankers Life Fieldhouse",50.05,0
21700341,"2017-12-04","Wells Fargo Arena",79.65,0
21700342,"2017-12-04","State Farm Arena",60.8,0
21700343,"2017-12-04","Td Garden",39.9,0
21700344,"2017-12-04","United Center",52.38,0
21700345,"2017-12-04","Fedex Forum",64.58,0
21700346,"2017-12-04","Smoothie King Center",65.92,0
21700347,"2017-12-04","American Airlines Center",71.86,0
21700348,"2017-12-04","At&t Center",76.72,0
21700349,"2017-12-04","Vivint Smart Home Arena",37.49,0.0002
21700350,"2017-12-05","Scotiabank Arena",45.16,0
21700351,"2017-12-05","Chesapeake Energy Arena",63.11,0
21700352,"2017-12-05","Moda Center",45.4,0
21700353,"2017-12-06","Quicken Loans Arena",38.51,0
